iter	RMSE
237	5895.4582
238	5888.990905
239	5884.504686
240	5880.092418
241	5876.462102
242	5874.871574
243	5868.454329
244	5862.607955
245	5853.340501
246	5849.576109
247	5845.862814
248	5840.519103
249	5838.186726
250	5834.201166
251	5830.468843
252	5825.41393
253	5821.38598
254	5815.969809
255	5809.873885
256	5805.114611
257	5800.507287
258	5795.95865
259	5792.938999
260	5786.945145
261	5778.579525
262	5775.59042
263	5762.200037
264	5759.500983
265	5754.766303
266	5747.978977
267	5746.759837
268	5736.568394
269	5736.237697
270	5732.17753
271	5722.479413
272	5713.464387
273	5710.950375
274	5706.775185
275	5700.64988
276	5695.679396
277	5691.062281
278	5679.418056
279	5674.013567
280	5669.971001
281	5666.663618
282	5661.250939
283	5654.443333
284	5650.403975
285	5646.622933
286	5642.982393
287	5635.695013
288	5630.750624
289	5625.495499
290	5616.698862
291	5615.169562
292	5611.036192
293	5604.548897
294	5598.812132
295	5595.232243
296	5592.334489
297	5585.761105
298	5581.353955
299	5577.075507
300	5569.572816
301	5564.028815
302	5555.388173
303	5550.249152
304	5542.125853
305	5537.397248
306	5532.10773
307	5528.67134
308	5524.088332
309	5520.519817
310	5512.092382
311	5505.33225
312	5498.422734
313	5496.930193
314	5492.187052
315	5487.680648
316	5479.910088
317	5473.584025
318	5467.240514
319	5462.840883
320	5453.147205
321	5448.159095
322	5444.560252
323	5441.181821
324	5431.704414
325	5428.024437
326	5420.076246
327	5415.703821
328	5413.517639
329	5407.611663
330	5398.462365
331	5388.458087
332	5386.168438
333	5375.642346
334	5374.620767
335	5364.791189
336	5362.725149
337	5356.917783
338	5352.911495
339	5350.022803
340	5343.027551
341	5339.079008
342	5334.995419
343	5329.494454
344	5320.879151
345	5318.257697
346	5313.5118
347	5306.055903
348	5301.830977
349	5298.984478
350	5294.316861
351	5285.149623
352	5279.73987
353	5276.292995
354	5273.449783
355	5267.563722
356	5261.909198
357	5256.091093
358	5248.977446
359	5245.946327
360	5240.608747
361	5234.000734
362	5230.115126
363	5227.279873
364	5223.631419
365	5219.197251
366	5212.373768
367	5206.914297
368	5203.262983
369	5198.674314
370	5193.111805
371	5189.936055
372	5186.025066
373	5179.422944
374	5177.736207
375	5174.069935
376	5173.932612
377	5167.337111
378	5163.021053
379	5157.520676
380	5154.624156
381	5149.733285
382	5143.480673
383	5139.290987
384	5138.009466
385	5134.379337
386	5128.121153
387	5124.253969
388	5122.103078
389	5118.115469
390	5116.927847
391	5110.743226
392	5107.078455
393	5103.725553
394	5094.373795
395	5092.286671
396	5087.484097
397	5087.258987
398	5080.027121
399	5078.928095
400	5075.506063
401	5070.75375
402	5066.723119
403	5062.862394
404	5059.683888
405	5055.216943
406	5051.517941
407	5048.720041
408	5047.351305
409	5040.705418
410	5036.694948
411	5033.323145
412	5026.862448
413	5023.326845
414	5017.516853
415	5017.385269
416	5012.064675
417	5007.929771
418	5003.803344
419	4992.47479
420	4987.285725
421	4977.963442
422	4972.015785
423	4970.571671
424	4969.013301
425	4963.760616
426	4957.243809
427	4954.089944
428	4946.620615
429	4934.681119
430	4932.133954
431	4923.886809
432	4920.448939
433	4917.850815
434	4913.254027
435	4906.783405
436	4901.996515
437	4898.114403
438	4892.903761
439	4889.028322
440	4884.352599
441	4877.001071
442	4873.279951
443	4868.84113
444	4864.727859
445	4858.680001
446	4856.250754
447	4851.934356
448	4849.950397
449	4844.003016
450	4838.13967
451	4833.963768
452	4829.879938
453	4826.429765
454	4824.933205
455	4821.200543
456	4818.604632
457	4815.365585
458	4814.159288
459	4804.407426
460	4802.404437
461	4798.659306
462	4794.157454
463	4791.039685
464	4789.543365
465	4784.106289
466	4782.138581
467	4777.532519
468	4765.225796
469	4761.230404
470	4758.991119
471	4758.496295
472	4751.846256
473	4746.559103
474	4741.4186
475	4740.073643
476	4737.391931
477	4735.071742
478	4724.698442
479	4723.287694
480	4718.450161
481	4716.750821
482	4714.407366
483	4711.256614
484	4705.858183
485	4700.965964
486	4696.217179
487	4692.120419
488	4688.431472
489	4685.20885
490	4681.078978
491	4678.688413
492	4676.439046
493	4667.792556
494	4666.865586
495	4662.106382
496	4657.505305
497	4655.020397
498	4653.807794
499	4649.686131
500	4647.207909
501	4639.563028
502	4634.334157
503	4631.037328
504	4628.102382
505	4621.253454
506	4616.815007
507	4611.399097
508	4609.280189
509	4605.379207
510	4603.214289
511	4596.457232
512	4591.199675
513	4588.424987
514	4586.687087
515	4585.678005
516	4584.556465
517	4580.581159
518	4579.310416
519	4572.750403
520	4569.610219
521	4569.022885
522	4567.913885
523	4564.914215
524	4559.25227
525	4556.320042
526	4550.542922
527	4548.149587
528	4541.684525
529	4538.031708
530	4534.327273
531	4524.480069
532	4518.18404
533	4515.085697
534	4511.042914
535	4506.778392
536	4504.672511
537	4495.130269
538	4489.074573
539	4486.862185
540	4484.679527
541	4482.340474
542	4477.083614
543	4473.430426
544	4473.289729
545	4472.420449
546	4470.141693
547	4464.164239
548	4458.013617
549	4451.928965
550	4451.293243
551	4445.269066
552	4439.665407
553	4436.79942
554	4435.843864
555	4433.357307
556	4433.279053
557	4430.238936
558	4419.930395
559	4416.688735
560	4411.148712
561	4409.306087
562	4407.430691
563	4401.392217
564	4398.817749
565	4394.142144
566	4384.442524
567	4382.763712
568	4381.806651
569	4379.557986
570	4373.582129
571	4370.787984
572	4365.694752
573	4363.913097
574	4361.242207
575	4359.268513
576	4357.408481
577	4349.739585
578	4346.504995
579	4342.600775
580	4338.68276
581	4334.757714
582	4332.081911
583	4329.845057
584	4327.120517
585	4323.373643
586	4321.224403
587	4318.682311
588	4315.196322
589	4313.052575
590	4307.476089
591	4302.80295
592	4298.539156
593	4294.486174
594	4290.34154
595	4288.379975
596	4279.234941
597	4277.488626
598	4273.51479
599	4264.853266
600	4261.225288
601	4259.382514
602	4255.580774
603	4252.119842
604	4246.714625
605	4243.659527
606	4242.984928
607	4240.78332
608	4237.954827
609	4235.430924
610	4230.36194
611	4227.006084
612	4224.354146
613	4221.352299
614	4219.559078
615	4217.956067
616	4212.428683
617	4210.60539
618	4207.406603
619	4202.295315
620	4201.287414
621	4197.87642
622	4193.130755
623	4192.405183
624	4190.44502
625	4189.74091
626	4182.596496
627	4178.022569
628	4172.835118
629	4167.420713
630	4165.390521
631	4162.492538
632	4160.395926
633	4156.950883
634	4155.052767
635	4151.731884
636	4151.030872
637	4146.49374
638	4144.341273
639	4141.797337
640	4137.800885
641	4133.393182
642	4131.374567
643	4129.275553
644	4127.453768
645	4124.846316
646	4124.27226
647	4120.462932
648	4120.035884
649	4112.978997
650	4109.098422
651	4102.464046
652	4098.634275
653	4093.007316
654	4090.690747
655	4089.135319
656	4086.368884
657	4081.413925
658	4078.407751
659	4073.205261
660	4070.757176
661	4066.851663
662	4063.43402
663	4057.566296
664	4055.744674
665	4052.110781
666	4046.523942
667	4045.89906
668	4045.067661
669	4043.248835
670	4037.643811
671	4033.715687
672	4031.546391
673	4027.865678
674	4023.58836
675	4017.972861
676	4013.507847
677	4009.693737
678	4006.404813
679	4002.802262
680	4000.993142
681	3997.989411
682	3991.797097
683	3990.520685
684	3989.128617
685	3984.826495
686	3979.277643
687	3976.353505
688	3971.765019
689	3969.692908
690	3967.000688
691	3961.690038
692	3957.516229
693	3956.931381
694	3954.463061
695	3951.453638
696	3951.333066
697	3946.81153
698	3944.053492
699	3940.879959
700	3938.753229
701	3937.155
702	3935.492901
703	3932.904233
704	3932.166748
705	3929.793187
706	3928.371108
707	3925.352499
708	3921.200274
709	3920.101967
710	3912.540427
711	3911.909713
712	3902.885734
713	3898.602377
714	3896.671337
715	3894.086834
716	3890.872139
717	3889.602854
718	3887.98752
719	3886.470645
720	3884.198449
721	3883.037748
722	3881.863801
723	3879.445534
724	3875.563985
725	3872.696121
726	3870.266196
727	3866.263524
728	3863.590181
729	3858.90776
730	3856.887413
731	3855.02972
732	3851.06934
733	3847.731414
734	3846.052694
735	3843.721567
736	3842.709375
737	3842.060025
738	3834.248933
739	3832.60542
740	3827.039692
741	3825.766588
742	3818.453053
743	3816.508007
744	3814.042593
745	3813.052518
746	3809.055638
747	3804.685864
748	3799.88074
749	3796.16442
750	3793.711727
751	3789.116769
752	3787.33297
753	3784.218881
754	3780.630388
755	3776.164621
756	3775.375391
757	3773.14336
758	3770.110464
759	3767.800166
760	3764.416144
761	3762.900094
762	3759.011205
763	3756.45737
764	3752.723614
765	3748.821471
766	3744.372566
767	3741.991183
768	3740.742046
769	3738.004415
770	3734.341632
771	3729.676403
772	3727.289865
773	3726.099836
774	3724.41903
775	3722.188034
776	3719.325011
777	3718.924024
778	3714.786153
779	3712.789858
780	3709.753201
781	3709.36305
782	3709.01709
783	3704.055794
784	3703.488671
785	3699.819003
786	3698.444137
787	3697.102735
788	3693.881259
789	3692.971677
790	3689.823068
791	3688.960453
792	3683.706757
793	3678.290042
794	3675.12858
795	3672.199969
796	3671.668478
797	3667.016464
798	3665.937114
799	3664.101294
800	3658.19192
801	3653.96847
802	3650.494209
803	3646.64922
804	3644.824652
805	3640.387413
806	3636.901188
807	3634.152371
808	3632.472902
809	3628.261103
810	3625.130066
811	3623.471154
812	3620.837525
813	3619.583117
814	3615.155114
815	3611.899256
816	3607.572262
817	3602.86715
818	3602.364492
819	3599.61393
820	3597.026991
821	3594.274574
822	3592.93803
823	3588.700489
824	3586.536832
825	3585.530659
826	3584.041667
827	3580.991357
828	3578.902856
829	3577.141825
830	3576.677313
831	3575.349841
832	3574.878105
833	3571.887089
834	3568.960145
835	3566.582669
836	3562.773708
837	3559.797156
838	3558.541401
839	3557.435991
840	3554.589396
841	3552.01939
842	3550.785901
843	3549.262859
844	3546.609898
845	3543.162944
846	3541.715539
847	3537.435472
848	3536.780213
849	3536.178674
850	3530.084899
851	3528.924134
852	3526.424809
853	3524.788627
854	3521.936908
855	3520.618037
856	3518.098315
857	3517.195401
858	3516.733175
859	3515.190094
860	3514.065513
861	3512.175805
862	3509.646671
863	3505.091334
864	3504.060181
865	3503.192221
866	3502.024804
867	3498.358992
868	3494.035206
869	3493.627648
870	3489.700722
871	3487.679079
872	3485.375043
873	3481.68746
874	3478.734039
875	3476.241882
876	3475.186161
877	3471.144901
878	3466.603281
879	3464.595229
880	3461.228324
881	3459.650067
882	3455.571951
883	3450.401602
884	3448.913861
885	3446.596083
886	3442.762717
887	3439.909384
888	3437.812691
889	3435.420774
890	3433.489614
891	3432.706538
892	3429.782734
893	3426.500259
894	3424.155121
895	3423.827516
896	3421.108371
897	3415.467963
898	3412.681456
899	3411.008926
900	3407.703331
901	3404.880649
902	3402.017291
903	3398.509127
904	3394.137494
905	3390.52404
906	3388.350651
907	3385.633691
908	3385.264302
909	3383.995994
910	3381.152673
911	3376.803711
912	3374.19749
913	3371.02474
914	3368.528376
915	3365.880628
916	3362.917878
917	3359.489476
918	3358.269357
919	3356.096128
920	3353.133984
921	3352.289484
922	3351.158209
923	3348.408116
924	3344.256355
925	3342.616505
926	3339.48346
927	3337.06751
928	3331.862566
929	3327.301899
930	3323.095723
931	3320.209582
932	3316.761687
933	3315.875283
934	3313.121272
935	3309.336045
936	3306.22138
937	3302.956849
938	3301.940869
939	3298.578106
940	3296.102293
941	3293.358371
942	3288.03733
943	3283.058711
944	3279.300504
945	3277.080605
946	3274.374129
947	3271.704422
948	3270.38235
949	3268.679778
950	3265.065541
951	3262.634975
952	3261.539109
953	3258.273049
954	3256.478306
955	3255.47793
956	3252.391783
957	3250.215128
958	3246.485166
959	3244.637188
960	3240.947418
961	3239.558321
962	3236.848315
963	3235.255758
964	3230.638529
965	3228.70732
966	3226.693815
967	3221.752801
968	3221.075144
969	3220.501257
970	3216.72624
971	3214.235159
972	3212.789775
973	3210.889087
974	3208.720358
975	3208.146607
976	3205.719316
977	3201.979536
978	3201.514775
979	3200.174743
980	3196.757247
981	3194.922105
982	3193.993625
983	3190.336391
984	3187.943455
985	3185.20462
986	3182.974508
987	3180.731028
988	3180.028609
989	3176.496962
990	3173.895732
991	3172.692885
992	3168.866745
993	3166.993354
994	3164.643043
995	3162.597217
996	3158.876731
997	3156.149193
998	3153.245508
999	3152.047789
